,"Population, tract total","Low access, low-income population at 1/2 mile, share","Housing units, total",Low access tract at 1 mile for urban areas and 20 miles for rural areas,Low access tract at 10 miles,"Low access, low-income population at 1 mile, share",Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,"Low access, population at 1 mile, share",Low access tract at 1/2 mile,"Low access, population at 1 mile, number","Low access, low-income population at 1 mile, number","Low access, population at 1/2 mile, number",Low access tract at 1 mile,"Low access, population at 1/2 mile, share",Low income tract,Low access tract at 1 mile for urban areas and 10 miles for rural areas,#N/A,Urban tract,#N/A,#N/A,"Low access, low-income population at 1/2 mile, number",Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Low access tract at 20 miles,Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas
,POP2010,lalowihalfshare,OHU2010,LA1and20,LATracts10,lalowi1share,LAhalfand10,lapop1share,LATracts_half,lapop1,lalowi1,lapophalf,LATracts1,lapophalfshare,LowIncomeTracts,LA1and10,GEOID10,Urban,NAME10,PLNG_REGION,lalowihalf,LILATracts_1And10,LATracts20,LILATracts_halfAnd10
652,7001,0.03520149,3180,1,0,0.00767155,1,0.22834911,1,1598.672147,53.70855133,4954.55842,1,0.70769296,0,1,13121010002,1,100.02,ARC 10,246.4456374,0,0,0
653,3869,0.01896405,2461,0,0,0,1,0,1,0,0,539.339481,0,0.13940023,0,0,13121009502,1,95.02,ARC 10,73.3719105,0,0,0
654,4875,0.3131169,1869,1,0,0.06675929,1,0.1477324,1,720.1954369,325.4515394,3682.193654,1,0.75532178,1,1,13121008000,1,80,ARC 10,1526.444902,1,0,1
655,1331,0.38669934,551,0,0,0,1,0,1,0,0,644.9986135,0,0.484597,1,0,13121003900,1,39,ARC 10,514.6968282,0,0,1
656,1862,0.07467521,723,0,0,0,0,0,0,0,0,162.0509038,0,0.08703056,1,0,13121004100,1,41,ARC 10,139.0452438,0,0,0
657,2273,0.42627671,790,0,0,0,1,0,1,0,0,1834.202326,0,0.80695219,1,0,13121002400,1,24,ARC 10,968.9269548,0,0,1
658,2231,0.50686386,870,0,0,0.01891407,1,0.03379419,1,75.39484359,42.19728562,2012.435046,0,0.90203274,1,0,13121004000,1,40,ARC 10,1130.813264,0,0,1
659,3181,0.38688927,1185,0,0,0.04576221,1,0.07742825,1,246.2992611,145.5695887,1955.117569,0,0.61462357,1,0,13121008400,1,84,ARC 10,1230.694768,0,0,1
660,2000,0.70870064,691,1,0,0.62888596,1,0.87850756,1,1757.015122,1257.771919,1999.999971,1,0.99999999,1,1,13121008302,1,83.02,ARC 10,1417.401281,1,0,1
661,2903,0.66685515,1046,0,0,0.07997618,1,0.15330364,1,445.0404784,232.1708452,2877.145381,0,0.99109383,1,0,13121008301,1,83.01,ARC 10,1935.880496,0,0,1
662,1706,0.6596591,576,1,0,0.42108707,1,0.64925748,1,1107.633265,718.3745354,1706.000015,1,1.00000001,1,1,13121007200,1,72,ARC 10,1125.37843,1,0,1
687,5447,0.08861622,2144,0,0,1.48E-05,1,0.00022161,1,1.20713043,0.08042617,2809.923272,0,0.51586621,0,0,13097080508,1,805.08,ARC 10,482.6925447,0,0,0
688,7344,0.23258752,2350,1,0,0.11819613,1,0.38544469,1,2830.705834,868.0324134,5771.385366,1,0.78586402,0,1,13097080510,1,805.1,ARC 10,1708.122721,0,0,0
689,5782,0.07687286,1965,1,0,0.02831664,1,0.23331584,1,1349.032177,163.7268225,4839.227295,1,0.83694696,0,1,13097080509,1,805.09,ARC 10,444.4788593,0,0,0
702,6268,0.15401667,2241,1,0,0.04892338,1,0.31992996,1,2005.321013,306.6517755,5123.789763,1,0.8174521,0,1,13097080603,1,806.03,ARC 10,965.376464,0,0,0
703,8933,0.16532009,2872,1,0,0.13088909,1,0.72638857,1,6488.829106,1169.23225,8238.013923,1,0.92220015,0,1,13097080511,1,805.11,ARC 10,1476.804377,0,0,0
704,5532,0.25867276,2152,1,0,0.0528435,1,0.139065,1,769.3075934,292.3302551,3907.442026,1,0.70633442,1,1,13097080304,1,803.04,ARC 10,1430.977705,1,0,1
706,3831,0.42820297,1310,1,0,0.25610142,1,0.50949961,1,1951.892987,981.1245541,3113.819558,1,0.8127955,1,1,13097080303,1,803.03,ARC 10,1640.445567,1,0,1
708,6371,0.31062323,2729,0,0,0.03442648,1,0.06950746,1,442.8320077,219.3311094,4231.359752,0,0.66415943,1,0,13097080103,1,801.03,ARC 10,1978.980568,0,0,1
709,8920,0.23030461,2877,1,0,0.20018505,1,0.8276262,1,7382.4257,1785.65062,8621.623288,1,0.9665497,0,1,13097080604,1,806.04,ARC 10,2054.317163,0,0,0
718,6197,0.2604211,2049,1,0,0.25540743,1,0.98832557,1,6124.653527,1582.759819,6196.99997,1,1,0,1,13097080201,1,802.01,ARC 10,1613.829532,0,0,0
719,5612,0.24010889,1832,1,0,0.2109479,1,0.82001225,1,4601.90874,1183.83961,5343.673655,1,0.95218704,0,1,13097080506,1,805.06,ARC 10,1347.491111,0,0,0
720,4293,0.23106689,1632,1,0,0.11675409,1,0.30720934,1,1318.849701,501.2252888,2691.749276,1,0.62700892,0,1,13097080505,1,805.05,ARC 10,991.9701456,0,0,0
721,9186,0.25606698,3430,1,0,0.14701352,1,0.68167781,1,6261.892384,1350.466167,8484.738823,1,0.92365979,0,1,13097080202,1,802.02,ARC 10,2352.231254,0,0,0
722,3610,0.21402827,1204,1,0,0.21402827,1,1,1,3609.999998,772.6420681,3609.999998,1,1,0,1,13097080507,1,805.07,ARC 10,772.6420681,0,0,0
724,11792,0.42775674,3954,1,0,0.38134621,1,0.91699086,1,10813.15619,4496.834522,11790.233,1,0.99985015,1,1,13097080301,1,803.01,ARC 10,5044.107512,1,0,1
725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13089980000,1,9800,ARC 10,0,0,0,0
726,8631,0.40715064,3496,1,0,0.1801379,1,0.36215725,1,3125.779244,1554.770202,6653.090045,1,0.77083652,1,1,13089023428,1,234.28,ARC 10,3514.117139,1,0,1
727,4432,0.34759116,1499,1,0,0.29145554,1,0.76375059,1,3384.942593,1291.730944,4432.000046,1,1.00000001,0,1,13089023426,1,234.26,ARC 10,1540.524036,0,0,0
728,4232,0.10868394,2457,0,0,0,1,0,1,0,0,2145.150329,0,0.50688807,0,0,13089021502,1,215.02,ARC 10,459.9504428,0,0,0
729,4132,0.1775178,2038,0,0,0,1,0,1,0,0,2374.513394,0,0.57466442,0,0,13089022302,1,223.02,ARC 10,733.5035588,0,0,0
730,3783,0.29915036,1263,0,0,0,1,0,1,0,0,1775.532004,0,0.46934497,1,0,13089022007,1,220.07,ARC 10,1131.685811,0,0,1
731,4172,0.08043733,2120,0,0,0.00377701,1,0.09049871,1,377.5606323,15.75769512,3006.289695,0,0.72058718,0,0,13089021602,1,216.02,ARC 10,335.5845482,0,0,0
732,5194,0.37146997,1902,0,0,0.02506659,1,0.05770253,1,299.7069444,130.1958807,4303.314497,0,0.82851646,1,0,13089023803,1,238.03,ARC 10,1929.415004,0,0,1
733,5823,0.46345027,1120,0,0,0.00366262,1,0.0057752,1,33.62896442,21.32746029,5011.821191,0,0.860694,1,0,13089022402,1,224.02,ARC 10,2698.670935,0,0,1
734,4433,0.29253558,1685,1,0,0.21237581,1,0.7278393,1,3226.511601,941.4619584,4433.000025,1,1.00000001,0,1,13089022700,1,227,ARC 10,1296.810248,0,0,0
735,4052,0.06865834,1598,1,0,0.02583643,1,0.27193378,1,1101.875686,104.6892333,2973.052023,1,0.73372459,0,1,13089022403,1,224.03,ARC 10,278.2036057,0,0,0
736,5489,0.14122902,2076,0,0,0.01513352,1,0.05981008,1,328.2975321,83.06788848,3531.925639,0,0.64345521,0,0,13089023425,1,234.25,ARC 10,775.206118,0,0,0
737,6509,0.12703798,2662,0,0,0.00052591,1,0.00162804,1,10.59688091,3.42313451,2320.797714,0,0.35655211,1,0,13089022204,1,222.04,ARC 10,826.8901972,0,0,1
738,8750,0.20608983,3163,1,0,0.14411136,1,0.61182844,1,5353.498842,1260.974368,6978.467366,1,0.79753913,0,1,13089023423,1,234.23,ARC 10,1803.286003,0,0,0
739,8851,0.22860854,2995,1,0,0.21469803,1,0.94221351,1,8339.531784,1900.292222,8850.999902,1,0.99999999,0,1,13089023419,1,234.19,ARC 10,2023.414212,0,0,0
740,9236,0.24314302,3186,1,0,0.16169614,1,0.61082377,1,5641.568369,1493.425544,8019.492765,1,0.86828635,0,1,13089023312,1,233.12,ARC 10,2245.66892,0,0,0
741,4066,0.19398803,1361,1,0,0.14128321,1,0.51923515,1,2111.210126,574.4575312,3407.499175,1,0.83804702,0,1,13089023311,1,233.11,ARC 10,788.7553412,0,0,0
742,5841,0.2232355,2151,0,0,0.00874356,1,0.01536173,1,89.72786427,51.07116133,2524.642927,0,0.43222786,1,0,13089023213,1,232.13,ARC 10,1303.918532,0,0,1
743,5657,0.18277883,3008,0,0,0,1,0,1,0,0,3377.679074,0,0.59707956,0,0,13089022301,1,223.01,ARC 10,1033.979868,0,0,0
744,2314,0.33045911,879,0,0,0,1,0,1,0,0,1724.009101,0,0.74503418,1,0,13089023602,1,236.02,ARC 10,764.6823883,0,0,1
745,3488,0.13906732,1324,0,0,0,1,0,1,0,0,967.4317617,0,0.27736002,1,0,13089023504,1,235.04,ARC 10,485.0668007,0,0,1
746,3591,0.41699243,1293,1,0,0.20717316,1,0.42399908,1,1522.580697,743.95881,3254.140274,1,0.90619334,1,1,13089023411,1,234.11,ARC 10,1497.419814,1,0,1
747,3761,0.33600107,1503,0,0,0.00892285,1,0.01790207,1,67.32967806,33.55885649,2315.950088,0,0.6157804,1,0,13089023410,1,234.1,ARC 10,1263.700035,0,0,1
748,3550,0.34395309,1299,0,0,0,1,0,1,0,0,1795.01943,0,0.50563928,1,0,13089023501,1,235.01,ARC 10,1221.033469,0,0,1
749,2434,0.3026802,835,1,0,0.15666359,1,0.46716708,1,1137.084679,381.3191784,2434.000013,1,1.00000001,0,1,13089023114,1,231.14,ARC 10,736.7236041,0,0,0
750,3991,0.49160117,1790,1,0,0.15161398,1,0.26067164,1,1040.340523,605.091391,3277.672051,1,0.82126586,1,1,13089023112,1,231.12,ARC 10,1961.980256,1,0,1
751,3451,0.13289897,1317,1,0,0.1250188,1,0.84690543,1,2922.670642,431.4398852,3424.460285,1,0.99230956,0,1,13089021912,1,219.12,ARC 10,458.6343301,0,0,0
752,4773,0.25233403,2002,1,0,0.21843467,1,0.80548701,1,3844.5895,1042.588659,4772.999965,1,0.99999999,0,1,13089021910,1,219.1,ARC 10,1204.390313,0,0,0
753,3132,0.05802699,1269,1,0,0.02456649,1,0.31644169,1,991.0953601,76.94223498,2754.678052,1,0.87952684,0,1,13089021604,1,216.04,ARC 10,181.7405248,0,0,0
754,5708,0.10211726,2882,0,0,0,1,0,1,0,0,1868.158421,0,0.32728774,1,0,13089021504,1,215.04,ARC 10,582.8852941,0,0,1
755,3860,0.21536586,1590,0,0,0,1,0,1,0,0,1904.331711,0,0.49335018,1,0,13089021503,1,215.03,ARC 10,831.3122223,0,0,1
756,4452,0.30146862,1691,0,0,0.00016639,1,0.0004372,1,1.94642496,0.740785,2906.989461,0,0.65296259,1,0,13089023107,1,231.07,ARC 10,1342.138302,0,0,1
758,4484,0.31626464,1676,0,0,7.80E-05,1,0.00013872,1,0.62201583,0.34969047,3230.704023,0,0.72049599,1,0,13089023101,1,231.01,ARC 10,1418.130665,0,0,1
