,"Population, tract total","Low access, low-income population at 1/2 mile, share","Housing units, total",Low access tract at 1 mile for urban areas and 20 miles for rural areas,Low access tract at 10 miles,"Low access, low-income population at 1 mile, share",Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,"Low access, population at 1 mile, share",Low access tract at 1/2 mile,"Low access, population at 1 mile, number","Low access, low-income population at 1 mile, number","Low access, population at 1/2 mile, number",Low access tract at 1 mile,"Low access, population at 1/2 mile, share",Low income tract,Low access tract at 1 mile for urban areas and 10 miles for rural areas,#N/A,Urban tract,#N/A,#N/A,"Low access, low-income population at 1/2 mile, number",Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Low access tract at 20 miles,Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas
,POP2010,lalowihalfshare,OHU2010,LA1and20,LATracts10,lalowi1share,LAhalfand10,lapop1share,LATracts_half,lapop1,lalowi1,lapophalf,LATracts1,lapophalfshare,LowIncomeTracts,LA1and10,GEOID10,Urban,NAME10,PLNG_REGION,lalowihalf,LILATracts_1And10,LATracts20,LILATracts_halfAnd10
785,3228,0.99999996,7,1,0,0.99999996,1,0.99999996,1,3227.999874,3227.999874,3227.999874,1,0.99999996,1,1,13089023115,1,231.15,ARC 10,3227.999874,1,0,1
786,3442,0.31718783,1274,1,0,0.14324294,1,0.43100272,1,1483.511361,493.0421928,3100.704832,1,0.90084394,1,1,13089023413,1,234.13,ARC 10,1091.760525,1,0,1
787,6244,0.25083008,2249,1,0,0.09958381,1,0.34753764,1,2170.025028,621.8012954,4840.04199,1,0.77515086,0,1,13089023414,1,234.14,ARC 10,1566.182991,0,0,0
788,7211,0.31669295,2533,1,0,0.06242904,1,0.14445607,1,1041.672727,450.1757998,5430.008912,1,0.75301746,1,1,13089023206,1,232.06,ARC 10,2283.672888,1,0,1
789,8610,0.21087338,3325,1,0,0.09320855,1,0.32957164,1,2837.611802,802.525597,6741.039005,1,0.78293136,0,1,13089021907,1,219.07,ARC 10,1815.619827,0,0,0
790,6602,0.26372553,2296,1,0,0.03054337,1,0.0821355,1,542.2585983,201.6473359,4921.51205,1,0.74545775,0,1,13089023204,1,232.04,ARC 10,1741.115971,0,0,0
791,3187,0.56509738,1383,1,0,0.36919069,1,0.6607317,1,2105.751922,1176.610724,3162.593973,1,0.99234201,1,1,13089023113,1,231.13,ARC 10,1800.965354,1,0,1
792,2153,0.31888755,688,0,0,0.00526141,1,0.01152469,1,24.81266689,11.32782412,1503.863936,0,0.69849695,1,0,13089022010,1,220.1,ARC 10,686.5648944,0,0,1
793,1590,0.08464055,582,0,0,0,0,0,0,0,0,471.9464213,0,0.29682165,0,0,13089023111,1,231.11,ARC 10,134.5784717,0,0,0
794,6009,0.52922962,2506,1,0,0.29436485,1,0.41617611,1,2500.802265,1768.838396,5240.924292,1,0.87217911,1,1,13089021814,1,218.14,ARC 10,3180.140789,1,0,1
795,3368,0.36800609,1149,0,0,0,1,0,1,0,0,1955.996916,0,0.58075918,1,0,13089021409,1,214.09,ARC 10,1239.444504,0,0,1
796,5652,0.06074102,3329,0,0,0.00293948,1,0.07111034,1,401.9156392,16.61392721,2969.813614,0,0.52544473,0,0,13089021218,1,212.18,ARC 10,343.308248,0,0,0
797,4129,0.32169397,1483,0,0,0.06357603,1,0.1064433,1,439.5043914,262.5054186,2793.792752,0,0.67662697,0,0,13089023507,1,235.07,ARC 10,1328.274402,0,0,0
798,6082,0.26080681,2266,1,0,0.15827181,1,0.63401225,1,3856.062495,962.6091681,5610.373687,1,0.92245539,0,1,13089023412,1,234.12,ARC 10,1586.227041,0,0,0
799,6850,0.18914758,2474,1,0,0.14155324,1,0.56242982,1,3852.644254,969.6397056,5101.236932,1,0.74470612,0,1,13089023416,1,234.16,ARC 10,1295.660895,0,0,0
800,3176,0.34586261,1457,1,0,0.08855052,1,0.21614242,1,686.4683174,281.2364452,2618.603711,1,0.82449739,0,1,13089023102,1,231.02,ARC 10,1098.459659,0,0,0
801,1958,0.14657735,967,0,0,0,1,0,1,0,0,1609.272336,0,0.82189598,0,0,13089023000,1,230,ARC 10,286.9984573,0,0,0
802,4977,0.29344229,1809,0,0,0.00513229,1,0.01941224,1,96.6147258,25.543391,4064.722134,0,0.81670125,0,0,13089021906,1,219.06,ARC 10,1460.462277,0,0,0
803,2300,0.15664557,950,1,0,0.07868345,1,0.50230244,1,1155.295616,180.9719377,2300.000017,1,1.00000001,0,1,13089021217,1,212.17,ARC 10,360.2848087,0,0,0
804,5371,0.02553546,2657,0,0,0,1,0,1,0,0,732.668106,0,0.13641186,0,0,13089021215,1,212.15,ARC 10,137.1509559,0,0,0
805,3980,0.15245941,1436,0,0,0,1,0,1,0,0,1058.127537,0,0.26586119,1,0,13089021414,1,214.14,ARC 10,606.7884455,0,0,1
806,3406,0.07204361,1256,1,0,0.02622337,1,0.28238604,1,961.8068432,89.31679045,2642.377594,1,0.77580082,0,1,13089021101,1,211.01,ARC 10,245.3805398,0,0,0
807,7896,0.19418735,2778,1,0,0.11314369,1,0.4467578,1,3527.599599,893.3825944,6490.3956,1,0.82198526,0,1,13089023316,1,233.16,ARC 10,1533.303351,0,0,0
808,4597,0.34058863,1612,1,0,0.25087392,1,0.72375772,1,3327.114259,1153.267389,4597.000045,1,1.00000001,0,1,13089023313,1,233.13,ARC 10,1565.685945,0,0,0
809,3552,0.22936218,1634,0,0,0.00485858,1,0.00599678,1,21.30056286,17.25767946,2590.955139,0,0.72943557,0,0,13089022900,1,229,ARC 10,814.6944584,0,0,0
810,3648,0.21036523,1311,1,0,0.08858967,1,0.30771791,1,1122.554949,323.1751129,3527.150201,1,0.96687231,0,1,13089022800,1,228,ARC 10,767.4123655,0,0,0
811,5795,0.03631034,3077,0,0,0,1,0,1,0,0,1818.042011,0,0.31372597,0,0,13089022600,1,226,ARC 10,210.4184255,0,0,0
812,5361,0.20258246,2487,1,0,0.02154998,1,0.11714095,1,627.9926214,115.5294469,3567.461551,1,0.66544703,1,1,13089022500,1,225,ARC 10,1086.044559,1,0,1
813,3654,0.58460678,1434,1,0,0.24273209,1,0.38270929,1,1398.419737,886.9430638,3530.395154,1,0.96617273,1,1,13089022100,1,221,ARC 10,2136.153162,1,0,1
814,3855,0.46618946,1432,1,0,0.17044355,1,0.32533031,1,1254.148342,657.0598802,3296.778213,1,0.85519539,1,1,13089022005,1,220.05,ARC 10,1797.160359,1,0,1
815,5125,0.3464813,1926,1,0,0.20510512,1,0.49613293,1,2542.681285,1051.163743,4430.563955,1,0.86450028,1,1,13089023214,1,232.14,ARC 10,1775.716639,1,0,1
816,2275,0.07741337,1274,0,0,0,0,0,0,0,0,493.0136036,0,0.21670928,0,0,13089022203,1,222.03,ARC 10,176.1154114,0,0,0
817,5595,0.53551834,2232,1,0,0.13366398,1,0.23239418,1,1300.245411,747.8499404,4945.639113,1,0.88393907,1,1,13089022009,1,220.09,ARC 10,2996.225114,1,0,1
818,4388,0.52193883,1982,1,0,0.39689095,1,0.81367421,1,3570.402447,1741.557488,4388.000004,1,1,1,1,13089021913,1,219.13,ARC 10,2290.2676,1,0,1
819,2631,0.57184385,1112,1,0,0.44625875,1,0.78038566,1,2053.194683,1174.10676,2630.99992,1,0.99999997,1,1,13089021813,1,218.13,ARC 10,1504.521158,1,0,1
820,5639,0.10445491,2552,0,0,0.00820846,1,0.08657937,1,488.2210633,46.28751984,3158.249544,0,0.56007263,0,0,13089021605,1,216.05,ARC 10,589.0212206,0,0,0
821,4379,0.3134847,1365,0,0,0.0001273,1,0.00037378,1,1.63676354,0.55746689,2747.716135,0,0.62747571,1,0,13089021308,1,213.08,ARC 10,1372.74949,0,0,1
822,5409,0.33204535,1614,1,0,0.13332937,1,0.24567483,1,1328.855136,721.1785755,3707.230831,1,0.68538192,1,1,13089022004,1,220.04,ARC 10,1796.033325,1,0,1
823,7250,0.39408641,2411,0,0,0,1,0,1,0,0,4013.181731,0,0.55354231,1,0,13089022008,1,220.08,ARC 10,2857.126445,0,0,1
824,5800,0.45213337,2291,0,0,0,1,0,1,0,0,4703.963663,0,0.81102822,1,0,13089021909,1,219.09,ARC 10,2622.373568,0,0,1
825,4125,0.39529111,1935,1,0,0.19164401,1,0.48915771,1,2017.775558,790.5315476,4125.000033,1,1.00000001,0,1,13089022001,1,220.01,ARC 10,1630.575834,0,0,0
826,4241,0.31131812,1592,1,0,0.12599061,1,0.26341865,1,1117.158515,534.3261615,2806.893508,1,0.66184709,1,1,13089023108,1,231.08,ARC 10,1320.300146,1,0,1
827,1943,0.06301991,1051,0,0,0,1,0,1,0,0,1166.048494,0,0.60012789,0,0,13089020200,1,202,ARC 10,122.4476771,0,0,0
828,5177,0.279259,1944,0,0,0,1,0,1,0,0,2870.833064,0,0.55453604,1,0,13089021306,1,213.06,ARC 10,1445.723849,0,0,1
829,4941,0.35931975,1503,1,0,0.03572986,1,0.11200998,1,553.4412971,176.5412535,4248.301894,1,0.85980609,1,1,13089021305,1,213.05,ARC 10,1775.398883,1,0,1
830,5827,0.06551417,2101,0,0,0,0,0,0,0,0,485.1507519,0,0.0832591,1,0,13089021417,1,214.17,ARC 10,381.75106,0,0,0
831,3855,0.07296931,1823,0,0,0,1,0,1,0,0,1595.119102,0,0.41377927,0,0,13089021415,1,214.15,ARC 10,281.2966875,0,0,0
832,4774,0.06419236,2372,0,0,0.00506293,1,0.02893103,1,138.1167336,24.17042822,2195.003321,0,0.45978285,0,0,13089021102,1,211.02,ARC 10,306.4543088,0,0,0
833,3975,0.26602027,1297,0,0,0,1,0,1,0,0,1896.452682,0,0.47709501,1,0,13089021307,1,213.07,ARC 10,1057.430575,0,0,1
834,2502,0.19547114,1029,0,0,0,1,0,1,0,0,1798.87134,0,0.71897336,0,0,13089023601,1,236.01,ARC 10,489.0687959,0,0,0
835,3486,0.07989046,1520,0,0,0,1,0,1,0,0,1889.798127,0,0.54211076,0,0,13089021412,1,214.12,ARC 10,278.4981455,0,0,0
836,5916,0.25113898,2110,1,0,0.0607263,1,0.22390405,1,1324.616339,359.2568075,4954.629315,1,0.8374965,0,1,13089023208,1,232.08,ARC 10,1485.73819,0,0,0
837,9425,0.36327291,3967,0,0,0.03257523,1,0.04454804,1,419.8652639,307.0215304,6291.895432,0,0.66757511,1,0,13089023310,1,233.1,ARC 10,3423.847158,0,0,1
838,2444,0.29825135,1045,1,0,0.1236881,1,0.28886242,1,705.9797472,302.293718,2443.999986,1,0.99999999,0,1,13089020801,1,208.01,ARC 10,728.9262984,0,0,0
839,2372,0.12631829,929,0,0,0,1,0,1,0,0,943.6404682,0,0.39782482,0,0,13089021812,1,218.12,ARC 10,299.6269766,0,0,0
840,5852,0.09742604,2033,1,0,0.02942184,1,0.21559121,1,1261.639739,172.1766312,4655.111538,1,0.79547361,0,1,13089021214,1,212.14,ARC 10,570.1371889,0,0,0
841,4984,0.05069497,2300,1,0,0.02953192,1,0.51198616,1,2551.739022,147.1870645,4081.218985,1,0.81886416,0,1,13089021810,1,218.1,ARC 10,252.6637523,0,0,0
842,6877,0.09426919,2674,1,0,0.00590596,1,0.09475431,1,651.6254159,40.61529123,4987.724707,1,0.72527624,0,1,13089021809,1,218.09,ARC 10,648.2892077,0,0,0
843,4679,0.1121875,1757,1,0,0.01520272,1,0.21671894,1,1014.027911,71.13351165,4022.766736,1,0.85974925,0,1,13089021808,1,218.08,ARC 10,524.9253015,0,0,0
844,5969,0.25029338,2339,1,0,0.05434673,1,0.2321144,1,1385.490836,324.3956249,4141.981762,1,0.69391552,0,1,13089021806,1,218.06,ARC 10,1494.001172,0,0,0
845,6065,0.2905577,2431,1,0,0.25631946,1,0.84664081,1,5134.876496,1554.577518,5965.87277,1,0.98365586,0,1,13089021805,1,218.05,ARC 10,1762.232479,0,0,0
846,5417,0.10864045,2222,1,0,0.05563687,1,0.50849481,1,2754.516398,301.3849501,5265.152883,1,0.97196841,0,1,13089021704,1,217.04,ARC 10,588.505328,0,0,0
847,4672,0.07597888,1842,1,0,0.02259242,1,0.45221001,1,2112.725146,105.5517756,3948.920858,1,0.84523135,0,1,13089021703,1,217.03,ARC 10,354.9733483,0,0,0
848,5051,0.2010334,2246,1,0,0.06728943,1,0.20934294,1,1057.391171,339.8789124,3153.903992,1,0.6244118,1,1,13089021705,1,217.05,ARC 10,1015.419711,1,0,1
849,5213,0.23512874,2025,0,0,2.06E-05,1,4.57E-05,1,0.23823126,0.10751452,2292.640996,0,0.43979302,1,0,13089021908,1,219.08,ARC 10,1225.72614,0,0,1
850,9553,0.27325642,3472,1,0,0.07871423,1,0.18145923,1,1733.480037,751.9570081,6452.37991,1,0.6754297,1,1,13089023309,1,233.09,ARC 10,2610.418584,1,0,1
851,2984,0.11981749,1113,0,0,0.00561745,1,0.02698077,1,80.5106163,16.76246309,1721.028738,0,0.57675226,0,0,13089023211,1,232.11,ARC 10,357.5353914,0,0,0
852,3556,0.35508698,1252,1,0,0.1104279,1,0.36709832,1,1305.401611,392.6816116,3387.449239,1,0.95260102,0,1,13089023212,1,232.12,ARC 10,1262.689305,0,0,0
853,6877,0.23339173,2235,1,0,0.23298017,1,0.99726657,1,6858.202199,1602.204606,6876.999926,1,0.99999999,0,1,13089023306,1,233.06,ARC 10,1605.034928,0,0,0
854,6503,0.21801194,2333,1,0,0.08680872,1,0.35310566,1,2296.246094,564.5170828,4685.548984,1,0.72052114,1,1,13089023303,1,233.03,ARC 10,1417.731649,1,0,1
855,6155,0.12169863,2708,1,0,0.02663042,1,0.23378808,1,1438.96564,163.9102658,4291.587764,1,0.69725228,0,1,13089021706,1,217.06,ARC 10,749.0550878,0,0,0
856,4598,0.06228006,1875,1,0,0.00467142,1,0.13908366,1,639.5066614,21.4791789,3336.365278,1,0.72561228,0,1,13089021211,1,212.11,ARC 10,286.3637226,0,0,0
857,5509,0.03288686,1998,1,0,0.00355329,1,0.19458812,1,1071.985942,19.57506937,4787.711225,1,0.86907083,0,1,13089021210,1,212.1,ARC 10,181.1736918,0,0,0
858,3382,0.02476132,1176,0,0,0.00503674,1,0.0663695,1,224.4616466,17.034244,1611.940923,0,0.47662357,0,0,13089021213,1,212.13,ARC 10,83.74277881,0,0,0
859,6418,0.17119462,1850,0,0,4.04E-05,1,0.00010071,1,0.64636135,0.25911653,1899.057965,0,0.2958956,1,0,13089021303,1,213.03,ARC 10,1098.727045,0,0,1
860,3932,0.19924248,1635,0,0,0,1,0,1,0,0,2205.979468,0,0.56103242,1,0,13089021301,1,213.01,ARC 10,783.4214221,0,0,1
861,5249,0.05927672,2686,0,0,8.04E-05,1,0.00057245,1,3.00481367,0.4220244,2201.837153,0,0.41947745,0,0,13089021209,1,212.09,ARC 10,311.1434804,0,0,0
862,4232,0.03873323,1946,0,0,0,1,0,1,0,0,1387.381436,0,0.32783115,0,0,13089021405,1,214.05,ARC 10,163.9190459,0,0,0
863,3200,0.02870978,1466,0,0,0,1,0,1,0,0,1045.896075,0,0.32684252,0,0,13089021208,1,212.08,ARC 10,91.87130421,0,0,0
864,4561,0.00421331,1039,0,0,0,0,0,0,0,0,25.04020848,0,0.00549007,1,0,13089021204,1,212.04,ARC 10,19.21690403,0,0,0
865,6745,0.08322356,3002,1,0,0.01565986,1,0.15246657,1,1028.387037,105.6257301,6021.253739,1,0.89269885,0,1,13089021202,1,212.02,ARC 10,561.3428986,0,0,0
866,6558,0.23775634,2497,1,0,0.1196272,1,0.46122974,1,3024.744635,784.5151666,4962.453191,1,0.75670222,1,1,13089023210,1,232.1,ARC 10,1559.206063,1,0,1
867,4962,0.31612252,1681,1,0,0.22675773,1,0.65114592,1,3230.986073,1125.171842,4640.735207,1,0.93525498,0,1,13089023209,1,232.09,ARC 10,1568.599966,0,0,0
868,3483,0.25892766,1306,0,0,0,1,0,1,0,0,1830.575394,0,0.52557433,1,0,13089023603,1,236.03,ARC 10,901.8450571,0,0,1
869,5145,0.1755465,2798,0,0,0,1,0,1,0,0,3143.096496,0,0.61090311,0,0,13089021603,1,216.03,ARC 10,903.1867455,0,0,0
870,3908,0.16588848,1845,0,0,0.02347972,1,0.12393293,1,484.3298969,91.75875878,2708.773897,0,0.69313559,0,0,13057090905,1,909.05,ARC 10,648.2921648,0,0,0
871,7544,0.24962959,2703,1,0,0.12321431,1,0.33572962,1,2532.74423,929.5287537,5829.577923,1,0.77274363,0,1,13057090904,1,909.04,ARC 10,1883.205653,0,0,0
872,6618,0.17486726,2206,1,0,0.10247697,1,0.52059705,1,3445.311301,678.1925886,5685.277544,1,0.85906279,0,1,13057091007,1,910.07,ARC 10,1157.271495,0,0,0
874,8585,0.12738458,2973,1,0,0.10245607,1,0.65528616,1,5625.631659,879.5853456,7373.607757,1,0.85889432,0,1,13057090804,1,908.04,ARC 10,1093.596626,0,0,0
875,8676,0.04530306,2989,1,0,0.02128193,1,0.36236731,1,3143.898821,184.6420184,7275.725935,1,0.83860373,0,1,13057091008,1,910.08,ARC 10,393.04938,0,0,0
878,13319,0.12520942,5154,1,0,0.08842889,1,0.51192153,1,6818.282873,1177.784328,10823.86384,1,0.8126634,0,1,13057090902,1,909.02,ARC 10,1667.664267,0,0,0
879,3665,0.38509093,1592,1,0,0.27726496,1,0.6747446,1,2472.938964,1016.176076,3273.497448,1,0.89317802,1,1,13057091001,1,910.01,ARC 10,1411.358249,1,0,1
880,7627,0.20871804,2811,0,0,0.01134129,1,0.02207753,1,168.3853196,86.50001642,3920.634456,0,0.51404674,0,0,13057091003,1,910.03,ARC 10,1591.892468,0,0,0
881,8383,0.17177778,2752,1,0,0.07493655,1,0.35649101,1,2988.464169,628.1931329,6619.39636,1,0.78962142,0,1,13057091102,1,911.02,ARC 10,1440.01312,0,0,0
882,5557,0.17763297,2061,1,0,0.16474735,1,0.94771995,1,5266.479788,915.5010436,5557.000022,1,1,0,1,13057091101,1,911.01,ARC 10,987.1064318,0,0,0
883,8019,0.21773937,2875,1,0,0.2083837,1,0.94641217,1,7589.27916,1671.028899,7977.903542,1,0.99487511,0,1,13057091103,1,911.03,ARC 10,1746.052043,0,0,0
884,19523,0.11767493,6900,1,0,0.0653999,1,0.49314738,1,9627.716328,1276.80225,15115.06249,1,0.77421823,0,1,13057090701,1,907.01,ARC 10,2297.367563,0,0,0
900,7284,0.2380946,2560,1,0,0.05423932,1,0.14599285,1,1063.411923,395.0792109,6576.663844,1,0.9028918,0,1,13057091005,1,910.05,ARC 10,1734.281044,0,0,0
901,5085,0.10268009,1659,0,0,0.00096699,1,0.00453579,1,23.06446838,4.91716003,3106.193884,0,0.61085425,0,0,13057091006,1,910.06,ARC 10,522.1282656,0,0,0
902,8928,0.42941346,3317,1,0,0.15255275,1,0.38824093,1,3466.214994,1361.990986,8060.088409,1,0.90278768,1,1,13057090400,1,904,ARC 10,3833.803332,1,0,1
903,6841,0.20769116,2267,1,0,0.13018426,1,0.48677522,1,3330.029292,890.5905174,5038.166728,1,0.73646641,0,1,13057090601,1,906.01,ARC 10,1420.815198,0,0,0
904,7119,0.15791485,2489,1,0,0.1348617,1,0.87934001,1,6260.02152,960.0804719,7076.423269,1,0.99401928,0,1,13057090901,1,909.01,ARC 10,1124.195803,0,0,0
905,8376,0.24096999,2742,1,0,0.06272452,1,0.22845074,1,1913.50344,525.3805998,6209.50873,1,0.74134536,0,1,13057090602,1,906.02,ARC 10,2018.364617,0,0,0
907,7180,0.17930644,2597,1,0,0.15074319,1,0.78931134,1,5667.255401,1082.336118,6918.77412,1,0.96361757,0,1,13057090702,1,907.02,ARC 10,1287.420219,0,0,0
908,12065,0.11787038,4147,1,0,0.10806668,1,0.88085552,1,10627.5218,1303.824461,11821.7142,1,0.97983541,0,1,13057090502,1,905.02,ARC 10,1422.106088,0,0,0
910,11555,0.169289,3883,1,0,0.15229337,1,0.88179854,1,10189.18212,1759.749939,11199.22045,1,0.96920991,0,1,13057090300,1,903,ARC 10,1956.134404,0,0,0
